url,noc,main_duties
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=NdcZIoRYP40uY1p6M1l6WYK2a9MVkwd2Iw8iVF1H9I0%3D,"10020 – Insurance, real estate and financial brokerage managers","10020 – Insurance, real estate and financial brokerage managers 
This group performs some or all of the following duties:



Insurance managers

Plan, organize, direct, control and evaluate the operations of an establishment or department that provides automobile, fire, life, property or other types of insurance services.

Real estate service managers

Plan, organize, direct, control and evaluate the operations of an establishment or department that buys, sells and leases residential and commercial properties for clients.

Mortgage broker managers

Plan, organize, direct, control and evaluate the operations of an establishment or department that finds lenders or lending institutions on behalf of clients seeking a mortgage.

Securities managers

Plan, organize, direct, control and evaluate the operation of an establishment or department that buys and sells stocks, bonds and other forms of investments on behalf of individual or institutional clients and manage the investments of their own clients."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=V7M7ANopJGwfx0sn%2F0HJ%2FmuK410vfO%2BgKCYCGvh%2BnD4%3D,"10021 – Banking, credit and other investment managers","10021 – Banking, credit and other investment managers 
This group performs some or all of the following duties:



Banking managers

Plan, organize, direct, control and evaluate the branch operations of a bank, trust company, credit union or similar financial institution or of a department in such an institution responsible for administering personal and commercial loans, buying and selling securities, operating investment funds, administering trusts, settling estates or other related activities
Ensure the institution's policies and procedures are followed according to established guidelines and make recommendations for improvement
Network to develop business relations, promote the sale of loan, investment and other banking services and attract corporate and individual customers
Interview corporate and individual customers and respond to customer enquiries
Analyze, review and approve or reject loan and credit applications in accordance with authorized limits
Monitor processing of loan applications and credit investigations
Oversee preparation of monthly financial and branch progress reports
Recruit personnel and identify their training needs.

Credit managers

Plan, organize, direct, control and evaluate the activities of a credit department in an industrial or commercial organization
Administer corporate, commercial and personal loan accounts
Advise customers on the commercial and personal financial services corresponding to their needs
Evaluate and review loan and credit applications and collateral and make recommendations
Approve or reject credit applications, establish credit limits and determine repayment plans or schedules in accordance with authorized limits
Ensure collection of overdue or delinquent accounts
Ensure credit policies and procedures are followed according to established guidelines and applicable legislation
Prepare credit and loan reports
Recruit credit personnel and identify their training needs."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=F%2Br9DZFPJhgOPRmhPu1l39d4gSuqpwLYdqqzkwZW12E%3D,"10022 – Advertising, marketing and public relations managers","10022 – Advertising, marketing and public relations managers 
This group performs some or all of the following duties:



Advertising managers

Plan, direct and evaluate the activities of firms and departments that develop and implement advertising campaigns to promote the sales of products and services.

Marketing managers

Establish distribution networks for products and services, initiate market research studies and analyze their findings, assist in product development, and direct and evaluate the marketing strategies of establishments.

Public relations managers

Direct and evaluate establishments and departments that develop and implement communication strategies and information programs, publicize activities and events, and maintain media relations on behalf of businesses, governments and other organizations.

E-business managers

Plan, organize, direct, control and evaluate the design, development and maintenance of Internet, Intranet and mobile applications to manage an organization's online business model and strategy
Collaborate with advertising, marketing, and public relations teams to plan, develop, evaluate and manage an organization’s online presence including public relations, communications, marketing, commercial activities and social media management."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=jRJxK4mDxpIMOLQHP54oCljZzTMAfSsxHVahvDbVABQ%3D,10029 – Other business services managers,"10029 – Other business services managers 
This group performs some or all of the following duties:


Plan, organize, direct, control and evaluate the operations of establishments that provide services to business such as management consulting, market research, personnel and payroll services, contact centre services and security services
Plan, develop and organize the policies and procedures of these establishments
Develop action plans, provide expertise in response to client needs, and support and advise project teams
Direct and advise staff in the development and implementation of service quality assessment strategies
Plan, administer and control budgets for client projects, contracts, equipment and supplies
Represent the company within various economic and social organizations
Assist staff with administrative or technical problems
Hire, train and supervise staff."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=QDY%2F7TbkoCzAIV7T3ts8U1swDQ4unRJfTUx3ARCM%2FKw%3D,10030 – Telecommunication carriers managers,"10030 – Telecommunication carriers managers 
This group performs some or all of the following duties:


Plan, organize, direct, control and evaluate the operations of a telecommunications establishment, department or facility
Consult with senior managers to establish policies concerned with the development, operation and maintenance of telecommunications services
Direct and control telecommunications traffic volume and flow within assigned areas, through subordinate supervisors and technical staff
Analyze and evaluate telecommunications installation, operation and maintenance services and make recommendations for improvement
Ensure compliance with telecommunications regulations and directives of government regulatory agencies
Liaise with representatives of related or connecting companies to resolve joint telecommunications problems and ensure efficient telecommunications system operations
Recruit personnel and oversee their training."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=oeb3UCf1A4uSJStbIS4nGmaGf3XekSgTp%2BXzPWrbhxs%3D,11100 – Financial auditors and accountants,"11100 – Financial auditors and accountants 
This group performs some or all of the following duties:


Financial auditors

Examine and analyze journal and ledger entries, bank statements, inventories, expenditures, tax returns and other accounting and financial records, documents and systems of individuals, departments within organizations, businesses or other establishments to ensure financial recording accuracy and compliance with established accounting standards, procedures and internal controls
Prepare detailed reports on audit findings and make recommendations to improve individual or establishment's accounting and management practices
Conduct field audits of businesses to ensure compliance with provisions of the Income Tax Act, Canadian Business Corporations Act or other statutory requirements
May supervise other auditors or professionals in charge of accounting within client's establishment.

Accountants

Plan, set up and administer accounting systems and prepare financial information for individuals, departments within organizations, businesses and other establishments
Examine accounting records and prepare financial statements and reports
Develop and maintain cost finding, reporting and internal control procedures
Examine financial accounts and records and prepare income tax returns from accounting records
Analyze financial statements and reports and provide financial, business and tax advice
May act as a trustee in bankruptcy proceedings
May supervise and train articling students, other accountants or administrative technicians."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=TfzZBc%2F8vGS87V3OoOLJDKtj648ZlsDbPRKxB8ZeWgE%3D,11101 – Financial and investment analysts,"11101 – Financial and investment analysts 
This group performs some or all of the following duties:



Financial analysts

Evaluate financial risks, prepare financial forecasts, financing scenarios and other documents concerning capital management, and write reports and recommendations
Plan short- and long-term cash flows and assess financial performance
Analyze investment projects
Advise on and participate in the financial aspects of contracts and calls for tender
Follow up on financing projects with financial backers
Develop, implement and use tools for managing and analyzing financial portfolio
Prepare a regular risk profile for debt portfolios
Assist in preparing operating and investment budgets
Develop and update financial or treasury policies.

Investment analysts

Collect financial and investment information about companies, stocks, bonds and other investments using daily stock and bond reports, economic forecasts, trading volumes, financial periodicals, securities manuals, company financial statements and other financial reports and publications
Examine and analyze financial and investment information collected, including profiles of companies, stock and bond prices, yields and future trends and other investment information
Provide investment advice and recommendations to clients, senior company officials, pension fund managers, securities agents and associates
Prepare company, industry and economic outlooks, analytical reports, briefing notes and correspondence."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=Y0aZzJd7NTVjDB0Cr50oYPyq%2BnHwXRpMhVua%2BiaDRAk%3D,11102 – Financial advisors,"11102 – Financial advisors 
This group performs some or all of the following duties:


Develop personal financial plans for clients covering cash management, finances, insurance coverage, investments, retirement and estate planning, taxes and legal matters
Analyze clients' financial records, set goals and develop a financial strategy
Advise clients on implementing the financial plan to help them achieve their goals
May also arrange for the purchase and sale of financial products and investments depending on the licence held, and monitor the portfolio to ensure its quality and profitability
May help to expand business and attract new clients."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=0%2FF09bbdRApMQnj9VUDj67Hb2SxPddix7Llrgy4kg%2Fc%3D,"11103 – Securities agents, investment dealers and brokers","11103 – Securities agents, investment dealers and brokers 
This group performs some or all of the following duties:


Securities agents and investment dealers

Develop long-term relationships with their clients by preparing investment strategies to help them achieve their financial goals, offering advice and information on various investments to guide them in managing their portfolios
Review financial periodicals, stock and bond reports, business publications and other material, and develop a network within the financial industry to gather relevant information and identify potential investments for clients
Carry out investment orders by buying and selling stocks, bonds, treasury bills, mutual funds and other securities for individual investors, pension fund managers or companies such as banks, trust companies and insurance firms
Monitor clients' investment portfolios and ensure that investment transactions are carried out according to industry regulations.

Brokers

Buy and sell stocks, bonds, commodity futures, foreign currencies and other securities at stock exchanges on behalf of investment dealers
Develop trading strategies by reviewing investment information and monitoring market conditions from the exchange floor and through contact with trading departments of other investment firms, pension fund managers and investment company financial analysts
Make bids and offers to buy and sell securities and complete details of sales on exchange trade tickets
Prepare reviews of portfolios' positions."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=YxdAvL8EqtybZpZg4%2Buk326sg9ywXy7B4lnpM%2BETJzA%3D,11109 – Other financial officers,"11109 – Other financial officers 
This group performs some or all of the following duties:


Financial examiners and inspectors

Review and examine banks, trust companies, credit unions, caisses populaires, credit companies, real estate companies, insurance companies, pension funds, securities brokers and other financial services and institutions to ensure compliance with governing legislation and regulations.

Financial investigators

Investigate possible unethical conduct or breaches of securities or commodity futures laws by persons or companies that trade in securities and commodity futures or that provide related financial services.

Financial underwriters

Analyze clients requests to assess risk and details of stocks, bonds, mortgages or other financing solutions
Negotiate with corporations, governments or individuals to determine the type and terms of financial products and prepare offering prospectuses or contracts
May underwrite new issues of stocks and bonds.

Trust officers

Administer estate, personal, charitable, corporate and other types of trusts
Direct trust account investments, receive and record investment income and disburse trust funds.

Mortgage brokers

Meet with clients to obtain information about income, liabilities and assets, and type, price and condition of property to be mortgaged
Negotiate mortgage loans with lenders or lending institutions on behalf of clients."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=tF97t0xNCX6e%2B0XlgLQnmpjoj6OepLmuwO7g%2BXmmL4U%3D,11200 – Human resources professionals,"11200 – Human resources professionals 
This group performs some or all of the following duties:


Plan, develop, implement and evaluate human resources and labour relations strategies including policies, programs and procedures to address an organization's human resource requirements
Advise employers and employees on the interpretation of human resources policies, compensation and benefit programs and collective agreements
Negotiate collective agreements on behalf of  employers or workers, mediate labour disputes and grievances and provide advice on employee and labour relations
Research and prepare occupational classifications, job descriptions, salary scales and competency appraisal measures and systems
Plan and administer staffing, total compensation, training and career development, employee assistance, employment equity and affirmative action programs
Manage programs and maintain human resources information and related records systems
Hire and oversee training of staff
Coordinate employee performance appraisal programs
Research employee benefit and health and safety practices and recommend changes or modifications to existing policies."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=qeHoR%2FymDKz3AxorITq9xrh0eFnL3iBYd7W4GkZpWkw%3D,11201 – Professional occupations in business management consulting,"11201 – Professional occupations in business management consulting 
This group performs some or all of the following duties:


Analyze and provide advice on the managerial methods and organization of a public or private sector establishment
Conduct research to determine efficiency and effectiveness of managerial policies and programs
Conduct assessments and propose improvements to methods, systems and procedures in areas such as operations, human resources, records management, security management and communications
Conduct quality audits and develop quality management and quality assurance standards for ISO (International Organization for Standardization) registration
Provide guidance and support to businesses on regulatory policies and procedures; ensure internal compliance with regulatory requirements; and prepare submissions and filings with regulatory bodies
Plan the reorganization of the operations of an establishment
May supervise contracted researchers or clerical staff."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=6SaTbn3pqYkSUTbL0wuVxkD4r7zlL33V109BqZ%2BlW90%3D,"11202 – Professional occupations in advertising, marketing and public relations","11202 – Professional occupations in advertising, marketing and public relations 
This group performs some or all of the following duties:


Assess characteristics of products or services to be promoted to determine marketing and advertising needs of an establishment
Advise clients on marketing, advertising or sales promotion opportunities and strategies
Develop strategies and related content for direct and digital marketing and advertising campaigns and implement them
Manage post campaign analysis to measure and report on marketing and advertising metrics
Develop and maintain social media accounts, including managing customer reviews and testimonials
Develop, implement and evaluate public relations strategies and programs designed to inform clients, employees and the general public of initiatives and policies of businesses, governments and other organizations
Conduct public opinion and attitude surveys to identify the interests and concerns of  key groups served by their organization
Prepare or oversee preparation of reports, briefs, bibliographies, speeches, presentations, Web sites and press releases
Develop and organize workshops, meetings, ceremonies and other events and programs for publicity, fundraising and information purposes
Arrange interviews, news conferences and other media events
Act as spokesperson for an organization and answer written and oral inquiries
Coordinate special publicity events and promotions for internal and external audiences
Assist in the preparation of brochures, reports, newsletters and other material
Represent and act as an agent for talented individuals or individuals with specific occupational expertise
Prepare or oversee preparation of sports, literary, performance or other contracts."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=ZxtQKleT2ibw7OzbAs3NZ5dozVH3KxtwrgUw6SCfHz4%3D,"12010 – Supervisors, general office and administrative support workers","12010 – Supervisors, general office and administrative support workers 
This group performs some or all of the following duties:


Coordinate, assign and review the work of clerks engaged in the following duties: word processing; record keeping and filing; operating telephones and switchboards; data entry; desktop publishing; and other activities involving general office and administrative skills
Establish work schedules and procedures and coordinate activities with other work units or departments
Resolve work-related problems and prepare and submit progress and other reports
Train workers in job duties, safety procedures and company policies
Requisition supplies and materials
Ensure smooth operation of office equipment and machinery, and arrange for maintenance and repair work
May perform the same duties as workers supervised."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=Oeq1moax2g9POurXNwwmKtKeXQs5KATCFaJ%2BI2a73YM%3D,"12011 – Supervisors, finance and insurance office workers","12011 – Supervisors, finance and insurance office workers 
This group performs some or all of the following duties:


Implement efficient working processes and coordinate, assign and review the work of clerks engaged in the following duties: administering accounts payable and receivable; processing, verifying and recording financial documents and forms; administering payrolls; processing, verifying and recording insurance claims and forms; and collecting user fees and payments on overdue accounts
Examine and verify accuracy of work and authorize routine payments, credits and other transactions
Establish work schedules and procedures and coordinate activities with other work units or departments
Resolve work-related problems and prepare and submit progress and other reports
Identify training needs and train workers in job duties and company policies
Requisition supplies and materials
Ensure smooth operation of computer systems and equipment and arrange for maintenance and repair work
May perform the same duties as workers supervised."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=OAMWS6WRwH7kHC0pjNUzZYT%2FFGf475eGRgCqDPVMoMw%3D,"12012 – Supervisors, library, correspondence and related information workers","12012 – Supervisors, library, correspondence and related information workers 
This group performs some or all of the following duties:


Coordinate, assign and review the work of clerks engaged in the following duties: conducting surveys and interviews; collecting and compiling statistics; preparing and issuing licences, passports and other regulatory documents; reshelving books and performing other tasks in libraries; writing correspondence including e-mails and preparing material for translation and publication
Establish work schedules and procedures and coordinate activities with other work units or departments
Resolve work-related problems, monitor services provided by clerks and agents, and prepare and submit progress and other reports
Train workers in job duties and company policies
Requisition supplies and materials
Ensure smooth operation of computer systems and equipment and arrange for maintenance and repair work
May perform the same duties as workers supervised."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=iNmR2cxU%2FTespVPxJjmERFrbt0w1WM%2Bzk54RSTmtaDw%3D,"12013 – Supervisors, supply chain, tracking and scheduling coordination occupations","12013 – Supervisors, supply chain, tracking and scheduling coordination occupations 
This group performs some or all of the following duties:


Supervise, plan, assign and review the work of clerks engaged in the following duties: shipping, receiving, storing, distributing and maintaining inventories of materials, parts and products; processing purchasing transactions; coordinating production work; dispatching crews; scheduling transportation crews and routes; and other related activities
Ensure compliance with policies, procedures for safety and security, standards and regulations in force and participate in their improvement
Resolve various problems and related complaints and implement corrective measures and process improvements
Train workers in job duties
Requisition supplies and materials
Ensure smooth operation of computer systems, equipment and machinery and arrange for maintenance and repair work
May conduct performance reviews of supervised workers
May perform the same duties as workers supervised."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=36trt1CF0CsNog6ifu2BmT06GRjsyXgPDqt9%2BTX8cvg%3D,12100 – Executive assistants,"12100 – Executive assistants 
This group performs some or all of the following duties:


Establish and coordinate administrative policies and procedures for officials, committees and boards of directors
Analyze incoming and outgoing memoranda, submissions and reports and prepare and coordinate the preparation and submission of summary briefs and reports to executives, committees and boards of directors
Prepare agendas and make arrangements for committee, board and other meetings
Conduct research, compile data, and prepare papers for consideration and presentation by executives, committees and boards of directors
Meet with individuals, special interest groups and others on behalf of executives, committees and boards of directors to discuss issues and assess and recommend various courses of action
Liaise with departmental and corporate officials and with other organizations and associations on behalf of executives, committees and boards of directors."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=sPRrimidDpS%2BQ5Cozu%2FE41tGSjk9d%2FVFKkTpL6kDCig%3D,12101 – Human resources and recruitment officers,"12101 – Human resources and recruitment officers 
This group performs some or all of the following duties:


Identify current and prospective staffing requirements, prepare and post notices and advertisements, and collect and screen applications
Advise job applicants on employment requirements and on terms and conditions of employment
Review candidate inventories and contact potential applicants to arrange interviews and transfers, redeployment and placement of personnel
Recruit graduates of colleges, universities and other educational institutions
Coordinate and participate in selection and examination boards to evaluate candidates
Notify applicants of results of selection process and prepare job offers
Advise managers and employees on staffing policies and procedures
Organize and administer staff consultation and grievance procedures
Determine eligibility to entitlements, arrange staff training and provide information or services such as employee assistance, counselling and recognition programs
May manage and follow up on the opening of Occupational Health and Safety (OHS) files
May supervise personnel clerks performing filing and record-keeping duties."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=Dl9tCGLcizSFnOrVSyJG0S5nlVRE8Sy0%2BumGrqq5iFc%3D,12102 – Procurement and purchasing agents and officers,"12102 – Procurement and purchasing agents and officers 
This group performs some or all of the following duties:



Procurement agents and officers

Evaluate risk, assess, prepare forecasts, scenarios and other factors concerning the supply market, and write reports and recommendations
Provides research and input into the financial sourcing aspects of contracts and calls for tender when information is not readily available
Identify high impact cost reduction opportunities
Leverage the organization’s buying power to optimize costs, access new suppliers, reduce lead times, and guarantee supply
Develop and maintain relationships with existing and potential buyers and suppliers to the organization
Respond to customer service inquiries and clarify requirements and provide information as needed.

Purchasing agents and officers

Purchase general and specialized equipment and materials, business services and land or access rights for use or for further processing by their establishment
Assess requirements of an establishment and develop specifications for equipment, materials and supplies to be purchased
Invite tenders, consult with suppliers and review quotations
Determine or negotiate contract terms and conditions, award supplier contracts or recommend contract awards
Establish logistics of delivery schedules, monitor progress and contact clients and suppliers to resolve problems
Negotiate land acquisition or access rights for public or private use, and may conduct field investigations of properties
May hire, train or supervise purchasing clerks."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=3O7iTeG9U%2FMbk6dgJ7VRaMRFOplrgxpNTT4YuzWmDTA%3D,12103 – Conference and event planners,"12103 – Conference and event planners 
This group performs some or all of the following duties:


Meet with trade and professional associations and other groups to promote and discuss conference, convention and trade show services
Meet with sponsors and organizing committees to plan the scope and format of events, to establish and monitor budgets and to review administrative procedures and progress of events
Coordinate services for events, such as accommodation and transportation for participants, conference and other facilities, catering, signage, displays, translation, special needs requirements, audio-visual equipment, printing and security
Organize registration of participants, prepare programs and promotional material, and publicize events
Plan entertainment and social gatherings for participants
Hire, train and supervise support staff required for events
Ensure compliance with required by-laws
Negotiate contracts for services, approve suppliers' invoices, maintain financial records, review final billing submitted to clients for events and prepare reports."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=bRWC4eHC3ntbe6OsjyRzP36RmmSoKnPUQiansP2Fi1s%3D,12104 – Employment insurance and revenue officers,"12104 – Employment insurance and revenue officers 
This group performs some or all of the following duties:



Excise tax revenue officers

Audit accounting records to determine income, exemptions, payable taxes, compliance with reporting regulations and existence of fraud
Examine accounting systems and internal controls of organizations
Provide advice on reporting and evaluation methods for goods subject to taxation
Prepare briefs and assist in searching and seizing records, and in preparing charges for court cases.

Government benefits services officers

Determine the eligibility of persons applying for government benefits such as Employment Insurance (EI), Canada Pension Plan (CPP) and Old Age Security (OAS)
Ascertain the facts on such issues as reasons for loss of employment and availability for work
Monitor the payments of benefits and investigate claimants when there appears to be fraud or abuse."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=UkTcxSVum5sJXQy8F3Hb1tk9q9yKzMU5stR9pvBpFEc%3D,"12110 – Court reporters, medical transcriptionists and related occupations","12110 – Court reporters, medical transcriptionists and related occupations 
This group performs some or all of the following duties:



Court reporters

Record verbatim proceedings of courtroom using electronic stenograph machine or stenomask
Respond to requests during court sessions to read back verbatim evidence
Transcribe recorded proceedings in accordance with established formats
Verify accuracy of transcripts by checking copy against original record of proceedings and accuracy of rulings by checking with judge
Research and locate quotes to ensure accuracy
Respond to requests for transcripts ordered by judges, lawyers or the public
File and store shorthand notes of court session.

Medical transcriptionists

Transcribe recorded dictation in accordance with established formats or written documentation from medical reports, correspondence, health records and patient information
Proofread work for typographical and grammatical errors
Edit transcripts for missing or incorrect content and formatting."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=VMo%2BEti%2Fgo0GfJsPuyX0MqT7hBT3Xa3CqEEv0NsvlJE%3D,12111 – Health information management occupations,"12111 – Health information management occupations 
This group performs some or all of the following duties:


Classify and code diseases according to an established classification system
Collect, code, cross-reference and store health records and related information
Abstract, assemble and analyze clinical data and related demographic information from health records according to established policies and procedures
Operate information systems to maintain indexes for classification systems and to manage and retrieve health records information
Prepare medical, social and administrative statistics
Use and maintain software or information technology systems
May implement and update health information systems and also provide support and training
May supervise other health information management technicians and related workers."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=8v6xcoU%2B4nNHzn9tPJQRszHGUoTXkccRx7E3V42E0%2BU%3D,12112 – Records management technicians,"12112 – Records management technicians 
This group performs some or all of the following duties:


Implement and update records classification, retention and disposal scheduling plans
Classify, code, cross-reference, log and store records
Develop document inventories and maintain indexes for classification systems
Operate information retrieval systems to research and extract records according to established guidelines in response to requests
Label, prepare and transfer information files according to established records management life-cycle procedures and schedules
Maintain access lists for security classified records
Compile statistics and reports on activities within records management services."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=FXfLiYSwG24lDk%2Fgk2Ac9tAFzASGfmLsSjMl92d3x14%3D,12113 – Statistical officers and related research support occupations,"12113 – Statistical officers and related research support occupations 
This group performs some or all of the following duties:


Compile tables, charts, graphs and summarized statistics for integration in research papers and reports
Process data using statistical software to conduct basic analyses of trends in support of research activities
Collect, consolidate, cross-tabulate and format data from various sources to prepare draft reports for review by supervisors or researchers
Assist in collection and tracking of data from monitored use of services and provide information to management and client groups
May prepare technical documents and monitoring reports on volumetrics and other trend analyses
May supervise statistical and research support workers."
